Address,Balance,Transaction count,inEther,outEther,feeEther,inCall,outCall,Call count,,,,,
0xa33c9d26e1e33b84247defca631c1d30ffc76f5d,0,6,0,0,0,0,3,3,,,,,
0xf9807a8719ae154e74591cb2d452797707fadf73,0,3,0,0,0,2,3,5,,,,,
0xa1ba6fc3ea0e89f0e79f89d9aa0081d010571e4a,0,3,0,0,0,0,4,4,,,,,
0x366c20b40048556e5682e360997537c3715aca0e,0,18,0,0,0,0,3,3,,,,,
0xeb0e56f32246d043228fac8b63a71687d5199af1,0,3,0,0.136702,0.047298,0,3,3,,,,,
0xdb3ed822b78f0641623a12166607b5fa4df862ad,0,6,0.184,0,0,7,6,13,,,,,
0xb88c19426f03c6981d1a4281c7414d842b97619a,0,2,0,0.002566,0.010938,2,11,13,,,,,
0x32e04b012ac811c91d36a355a6d2859a0071a965,0,6,0.013504,0,0,0,4,4,,,,,
0xe0dd44773f7657b11019062879d65f3d9862460c,0,3,0,0.00018,0.01982,2,6,8,,,,,
0x756be12856a8f44ab22fdbcbd42b70b843377d09,0,8,0.02,0.000002,0.000255,0,3,3,,,,,
0x6f4c950442e1af093bcff730381e63ae9171b87a,0,"2,252",0,0,0,1,7,8,,,,,
0x4d1bf28514a4451249908e611366ec967c3d1558,0,4,0,0,0,0,2,2,,,,,
0xb0142d883494197b02c6ece84f571d81bd831124,0,3,0.000257,0,0,0,3,3,,,,,
0x1326324f5a9fb193409e10006e4ea41b970df321,0,3,0,0,0,0,3,3,,,,,
0xf9a2c330a19e2fbfeb50fe7a7195b973bb0a3be9,0,3,0,0,0.000361,0,4,4,,,,,
0x7a601ffa997cede6435aeabf4fa2091f09e149ec,0,5,0.00038,0.000019,0,0,3,3,,,,,
0xa92f4b5c4fddcc37e5139873ac28a4a0a42d68df,0,4,0,0,0,1,4,5,,,,,
0x850cc185d6cae4a7fdfb3dd81f977dd1df7d6503,0,11,0,0.06734,0.001441,3,8,11,,,,,
0xb1b7c87e8a0bf2e7fd1a1c582bd353e4c4529341,0,3,0.068781,0,0,0,3,3,,,,,
0xff844fdb49e00776ad538db9ea2f9fa98ec0caf7,0,4,0,0,0,0,3,3,,,,,
0x1ac6f9601f2f616badcea8a0a307e1a3c14767a4,0,3,0,0,0,0,3,3,,,,,
0xc2aa6271409c10dee630e79df90c968989ccf2b7,0,3,0,0,0,0,3,3,,,,,
0x883d01eae6eaac077e126ddb32cd53550966ed76,0,3,0.00038,0,0,1,8,9,,,,,
0x127688bbc070dd69a4db8c3ba5d43909e13d8f77,0,6,0,0.000005,0.000336,0,3,3,,,,,
0x0b54a50c0409dab2e63c3566324268ed53ec019a,0,9,0.000051,0.000044,0.000046,1,5,6,,,,,
